total_votes,weighted_average_vote,imdb_title_id,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
271,6.2,tt0100347,5.5,5.5,6.3,5.9,7.9,34.0,133.0
336,7.8,tt0100354,8.2,7.9,2.0,7.8,4.3,12.0,166.0
266,7.1,tt0100356,7.8,7.3,4.3,6.9,7.5,8.0,186.0
336,6.9,tt0100357,6.6,6.8,6.9,6.8,7.1,24.0,216.0
161,5.2,tt0100365,5.4,5.5,4.8,5.2,5.9,3.0,97.0
3800,6.0,tt0100369,6.1,5.9,5.9,5.9,6.1,1058.0,1706.0
248,4.9,tt0100373,3.9,5.1,4.4,4.9,5.0,95.0,79.0
121,6.8,tt0100384,7.4,6.9,5.6,6.8,6.4,13.0,68.0
384,5.6,tt0100388,5.5,5.7,5.6,5.6,5.7,15.0,267.0
717,7.2,tt0100389,7.4,7.2,7.0,7.1,7.3,97.0,449.0
118,4.3,tt0100390,1.8,4.6,4.0,4.3,4.5,2.0,88.0
234,7.0,tt0100393,7.4,7.2,6.7,6.9,7.0,69.0,113.0
14452,6.7,tt0100395,7.0,6.6,6.7,6.6,6.9,4627.0,5448.0
110,6.1,tt0100401,7.1,6.5,3.6,6.1,4.9,15.0,59.0
137329,6.3,tt0100403,6.1,6.3,6.2,6.3,6.1,24652.0,66270.0
35186,6.9,tt0100404,7.0,6.8,7.0,6.9,6.9,8830.0,16044.0
267154,7.0,tt0100405,7.1,6.9,7.0,6.8,7.4,43682.0,127322.0
222,5.2,tt0100410,6.5,5.2,4.6,5.1,6.1,47.0,120.0
137,7.0,tt0100411,3.5,7.8,6.4,6.8,7.0,21.0,67.0
762,6.4,tt0100414,5.5,6.1,6.6,6.4,6.5,190.0,380.0
26686,5.4,tt0100419,5.7,5.4,4.8,5.4,5.7,7740.0,11313.0
458,4.4,tt0100425,4.1,4.5,4.2,4.4,4.3,15.0,317.0
310,5.2,tt0100430,5.1,4.9,5.3,5.1,5.4,104.0,129.0
24871,7.2,tt0100436,7.4,7.2,7.0,7.1,7.4,8054.0,8893.0
712,5.8,tt0100440,6.2,5.6,5.8,5.6,6.2,120.0,395.0
4896,6.6,tt0100442,6.7,6.6,6.6,6.6,6.5,1110.0,2481.0
599,2.5,tt0100448,1.9,2.6,2.3,2.5,2.5,188.0,272.0
18180,6.8,tt0100449,6.9,6.9,6.8,6.8,6.8,6200.0,7119.0
113,6.7,tt0100453,7.5,7.0,6.5,6.7,7.3,6.0,73.0
415,7.1,tt0100454,6.7,7.3,6.7,7.1,6.9,9.0,261.0
1180,5.9,tt0100456,6.0,6.0,5.6,5.9,6.1,185.0,695.0
121,6.3,tt0100457,,6.1,6.4,6.2,6.9,9.0,81.0
117,4.3,tt0100460,6.0,3.8,4.0,4.1,4.5,31.0,38.0
218,4.9,tt0100464,4.7,5.0,4.4,4.7,5.0,54.0,103.0
262,7.1,tt0100465,5.9,7.3,6.8,6.8,8.0,46.0,142.0
353,3.4,tt0100466,4.1,3.3,3.5,3.4,3.9,111.0,143.0
463,3.7,tt0100468,3.8,3.6,3.7,3.7,3.6,118.0,225.0
6691,6.9,tt0100469,7.0,6.7,6.9,6.8,6.8,1286.0,3691.0
1747,7.5,tt0100470,7.4,7.6,7.3,7.5,7.4,281.0,973.0
125,5.9,tt0100472,5.9,6.0,5.1,5.9,5.0,38.0,53.0
7657,4.8,tt0100475,5.2,4.9,4.4,4.8,5.1,1761.0,3772.0
35037,6.9,tt0100477,6.9,6.9,6.6,6.8,7.1,10608.0,12946.0
106,6.7,tt0100479,6.8,7.1,6.4,6.9,4.6,6.0,77.0
276,4.8,tt0100480,4.4,5.3,4.5,4.7,7.0,140.0,70.0
15488,6.2,tt0100485,6.5,6.2,6.2,6.2,6.6,3621.0,7489.0
13568,7.2,tt0100486,7.6,7.2,7.1,7.2,7.4,4030.0,5948.0
270,6.2,tt0100488,5.9,6.8,5.1,5.3,7.0,99.0,78.0
3765,7.1,tt0100491,7.1,7.0,7.1,7.0,7.0,404.0,2378.0
1757,6.1,tt0100496,6.4,6.1,6.2,6.1,6.2,86.0,1193.0
77247,5.8,tt0100502,5.8,5.9,5.6,5.8,5.6,14007.0,38362.0
295,3.9,tt0100503,4.4,4.4,3.1,4.1,3.7,92.0,122.0
1013,4.9,tt0100504,5.1,5.0,4.2,4.7,5.7,539.0,134.0
814,5.3,tt0100506,5.5,5.4,5.2,5.0,6.2,399.0,182.0
119514,5.3,tt0100507,5.6,5.2,5.0,5.3,5.7,21170.0,55874.0
715,7.0,tt0100508,7.1,7.0,6.5,6.9,7.4,97.0,376.0
110,6.9,tt0100511,7.5,7.6,6.3,6.7,7.2,3.0,64.0
149,6.8,tt0100512,6.4,7.3,6.3,5.8,8.5,65.0,45.0
23972,5.9,tt0100514,6.2,5.9,5.8,5.9,5.8,4844.0,12482.0
19853,7.5,tt0100519,7.5,7.5,7.3,7.3,8.0,5715.0,8054.0
615,4.9,tt0100528,4.4,5.2,4.6,4.9,4.9,139.0,305.0
13534,6.1,tt0100530,6.1,6.0,6.2,6.1,6.2,2895.0,6681.0
352,2.7,tt0100531,2.2,3.0,2.4,2.6,2.5,44.0,217.0
159,6.3,tt0100534,6.6,6.5,5.9,6.4,5.6,3.0,127.0
662,6.7,tt0100536,6.9,6.6,6.8,6.7,6.9,124.0,403.0
163,6.7,tt0100537,8.0,6.7,6.8,6.9,5.8,8.0,114.0
175,6.6,tt0100540,6.7,7.1,4.9,6.3,6.6,17.0,99.0
201,5.8,tt0100541,5.7,5.6,6.3,5.9,5.9,33.0,121.0
