imdb_title_id,total_votes,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
tt0338791,106,3,2.6,3.1,3.3,3.1,3.2,12,80
tt0338801,382,6.9,7.2,6.9,6.9,7,6.8,12,271
tt0338806,1093,5.2,5.3,5.1,5.3,5,5.8,240,538
tt0338812,231,4.6,5.4,4.3,5,4.7,4.8,152,45
tt0338828,2349,5.9,6.3,5.9,5.6,6,5.9,111,1583
tt0338855,196,4.7,4.7,4.8,4.1,4.7,4.3,21,122
tt0338949,1984,7.4,7.4,7.4,7,7.3,7.6,198,1277
tt0338959,136,4.7,5.4,4.2,5.2,4.5,5.5,20,86
tt0338975,161,4.5,5.1,4.4,4.4,4.4,4.5,14,111
tt0338977,2808,6.9,7,6.9,6.8,6.9,6.8,283,1910
tt0338998,536,5.4,5.6,5.3,5.3,5.4,5,7,330
tt0339028,406,5,4,4.8,5.2,5,4.8,20,293
tt0339034,24510,2.1,2.8,1.8,1.9,1.8,2.8,10920,6113
tt0339071,1331,6.9,7,6.9,6.8,6.9,7,704,303
tt0339072,1291,4.2,4.2,4,4.5,4,4.8,77,937
tt0339079,1050,7.1,8.2,7.5,6.5,7,8.4,635,316
tt0339086,122,4.3,5.3,4.6,3.5,3.8,5.6,28,76
tt0339091,943,2.4,2.2,2.3,2.6,2.2,3.3,490,257
tt0339098,125,4.6,5.7,4.7,4.7,4.7,5.1,21,71
tt0339111,302,5.8,5.8,5.6,6.4,5.9,4,29,197
tt0339134,525,6.4,6.4,6.6,5.6,6.1,6.9,16,351
tt0339135,17717,6.2,6.6,6.1,5.8,6.2,6.3,2389,10363
tt0339147,8125,5.7,5.7,5.7,5.6,5.7,5.8,1608,4624
tt0339149,945,6.7,6.4,6.8,6.5,6.7,7,44,625
tt0339174,134,4,2,4.4,3.5,3.8,4.5,44,45
tt0339204,144,5.6,3,5.2,6,5.4,6.7,12,102
tt0339209,473,3.7,5.8,3.1,3.6,3.5,5.3,227,148
tt0339230,18272,6.7,6.8,6.7,6.5,6.7,6.7,493,12964
tt0339252,817,7.7,8,7.3,3.5,7.6,6.4,65,327
tt0339266,452,6.8,7.1,7.2,5.6,6.7,6.9,20,324
tt0339279,546,5.8,5.6,5.7,6,5.7,6.3,21,394
tt0339291,187316,6.8,6.8,6.8,6.7,6.7,7,35354,91128
tt0339296,124,6.7,8.1,8.3,3.8,6.6,6.9,20,83
tt0339300,1111,5.9,5.7,5.9,6.1,5.8,6.1,15,762
tt0339323,158,4,4.8,4.4,3.3,3.9,5,6,114
tt0339334,2867,5.2,5.3,5,5.3,5.1,5.5,210,1799
tt0339357,1620,6.9,7.4,7,6.8,6.9,7.2,293,953
tt0339366,373,5.8,5.2,5.8,6,5.8,4.8,19,250
tt0339385,2324,5.8,5.6,5.7,6,5.7,5.9,109,1589
tt0339397,243,5.8,6.6,5.5,6.6,5.7,6.4,24,157
tt0339412,13440,5.5,5.5,5.5,5.6,5.5,5.4,6071,3921
tt0339419,4062,7.1,7.1,7.1,7.1,7.1,7,1214,1807
tt0339421,652,2,2.8,1.9,1.5,1.9,2.7,53,454
tt0339450,2005,7.1,7.8,7,6.2,6.9,7.8,66,1323
tt0339464,258,5.8,5.7,5.9,5.5,5.8,6.1,35,150
tt0339478,228,7.7,8.5,8,6.4,7.5,8.2,8,171
tt0339482,373,6.3,6.9,6.3,6.3,6.3,6.7,18,264
tt0339489,2138,7.1,7.2,7.2,6.9,7.1,7.3,220,1417
tt0339504,150,6.8,7,6.8,3.5,6.9,5.1,7,80
tt0339525,1050,5.9,5.3,5.9,6,5.9,5.8,31,765
tt0339534,277,3.8,2.3,3.7,3.8,3.7,3.7,113,88
tt0339535,5558,8.4,8.9,8.2,7.6,8.4,8.6,166,3406
tt0339537,398,4.5,6.1,4,4.8,4.3,5.2,137,151
tt0339553,315,5.9,7.3,6,5.4,5.9,6.1,47,192
tt0339558,372,6.2,6.3,5.9,6.4,6.2,6.2,137,149
